1941-09-01	Да	КарФ	7 армия	54, 71, 272 сд	оаад; Петрозаводский бригадный район ПВО	51, 106 отб, 44 отд. бронедивизион	55 сад	18 оиб, 40 пмб, 184 осб
1941-09-01	Да	КарФ	7 армия	Группа войск Петрозаводского направления: 9, 24 мсп
1941-09-01	Да	КарФ	7 армия	Группа войск южного направления: 3 сд НО, 3 бр. морской пехоты, 452 мсп, 719 сп; Ребольская сд
1941-09-01	Да	КарФ	14 армия	42 ск (104, 122 сд), 14, 52, 88 сд, Мурманская сбр, 1 мсп (1 тд) , 23 УР	104 пап РВГК; Мурманский бригадный район ПВО	107 отб	1 сад, 118 раэ	19 оиб, 31, 116 осб
1941-09-01	Да	КарФ			208 озад
1941-09-01	Да	ЛФ	8 армия	11, 48, 118, 125, 191, 268 сд, 76 латышский осп, 266 опаб	47, 73, 1/24 кап, 39, 103 озад
1941-09-01	Да	ЛФ	23 армия	19 ск (142, 265 сд), 43, 123, 291 сд, 115 сд (708 сп)	577 гап РВГК, 28 кап, 241, 485 озад; Выборгский бригадный район ПВО	198 мд	7, 153 иап, 235 шап	41 пмб, 234 осб
1941-09-01	Да	ЛФ	42 армия	2, 3 гв. сд НО, Красногвардейский УР	51 кап, 690 ап ПТО, сводный ап, 198 мд (704 ап)			42 пмб, 106 миб
1941-09-01	Да	ЛФ	48 армия	128, 311 сд, 1 гсбр, 170 окп	541 гап РВГК	21 тд		109 миб, 12 осб
1941-09-01	Да	ЛФ	55 армия	70, 90, 168, 237 сд, 1, 4 сд НО, 3 гв. сд НО  (2 сп), Слуцко-Колпинский УР	14 арт. бригада ПТО, 24 кап, 47 оминб	84, 86 отб
1941-09-01	Да	ЛФ	Копорская опер. группа	1 гв., 2 сд НО, 522 сп (191 сд)	519 гап РВГК	1 тд (24 тп)		295 осб
1941-09-01	Да	ЛФ	Южная опер. группа	41 ск (111, 177, 235 сд), 1 сп (3 сд НО), 260, 262, 274 опаб	ап ПТО (майора Богданова); Лужский бригадный район ПВО	24 тд		24 пмб, 259 осб
1941-09-01	Да	ЛФ		10, 16, 115, 281 сд, 4 гв. сд НО, 1 сд НКВД, 8 сбр, 3 сп (1 сд НО); 22, 29 УР	101 гап, 108 гап б/м РВГК, 16, 20 оминб, 27 озад; 2 корпус ПВО, Свирский бригадный район ПВО	1 тд, 48 отб	7 иак ПВО, 8, 39 иад, 2 сад	53, 54 оиб, 21 пмб
1941-09-01	Да	СЗФ	11 армия	180, 182, 183, 202, 254 сд, 21 мсп	9 арт. бригада ПТО, 614 кап, 698 ап ПТО, 11, 23 озад	87, 110 отб	7 сад	28, 38 оиб, 202 осб
1941-09-01	Да	СЗФ	27 армия	5, 23, 181, 185, 188, 256 сд, 37 сп НКВД	613 кап		4 сад, 28, 268 иап	134 миб, 67, 160, 188, 339 осб
1941-09-01	Да	СЗФ	34 армия	163, 245, 257, 259, 262 сд, 25 кд, 3 мсп	264, 270 кап 108, 112 отб	57 сад	47 оиб, 238, 299 осб
1941-09-01	Да	СЗФ	Новгородская опер. группа	305 сд	448 кап, оминд, 8 озад	3, 28 тд		50 оиб
1941-09-01	Да	СЗФ		33, 84 сд, 54 кд; 310 сд	10 арт. бригада ПТО, 402, 429 гап РВГК, 171, 759 ап ПТО, 19, 111, 239, 246, 250 озад; Рижский, Эстонский, Каунасский бригадный район ПВО	34 мцп	6 сад, 415 иап	25 оиб, 110 миб, 50, 55, 56, 57 пмб
1941-09-01	Да	ЗФ	16 армия	44 ск (38, 108, 152 сд)	49, 471, 587 кап, 700 ап ПТО	127 тбр		42 миб, 169, 243 осб
1941-09-01	Да	ЗФ	19 армия	50, 64, 89, 91, 166, 244 сд, 45 кд	596 кап, 311 пап, 120, 399 гап РВГК, 874 ап ПТО, 302(4 д-н) гап РВГК, 7, 318 озад	101 тд, 205 отп		111 миб, 238, 321 осб
1941-09-01	Да	ЗФ	20 армия	73, 129, 144, 153, 161, 229 сд	126 кап, 592 пап, 302 гап РВГК, 872 ап ПТО, 112, 123, 185, 455 озад			129, 226, 229 миб, 288 осб
1941-09-01	Да	ЗФ	22 армия	29 ск (126, 179, 214 сд), 51 ск (98, 112, 170 сд), 62 ск (174, 186 сд)	56, 545, 615 кап, 360 гап РВГК, 17 сд (390 гап), 697 ап ПТО, 17 сд (102 оад ПТО), 11 оминб, 111, 183, 397 озад	48 тд, 9 мцп		22, 39 оиб, 115 миб
1941-09-01	Да	ЗФ	29 армия	178, 243, 246, 252 сд	444, 644 кап	отд. мотобригада		71, 72 оиб
1941-09-01	Да	ЗФ	30 армия	134, 162, 242, 250, 251 сд	392, 542 кап, 871 ап ПТО, 12 оминб	107 тд		51 мпмб, 263 осб
1941-09-01	Да	ЗФ		Кав. группа (50, 53 кд); 62, 64, 65, 66 УР	7 ап, 29, 467 кап, 301, 375 гап, 293 пап РВГК, 509 ап ПТО, 95 сд (57 гап),27 тд  (27 гап), 164 озад; 7 бригада ПВО, Смоленский, Барановичский бригадный район ПВО	126, 128 тбр, 49, 52, 54, 56, 59, 64, 66, 184, 186 отб	23 бад, 31, 43, 46, 47 сад, 30, 95, 134 бап, 314 рап	70, 122 оиб, 113, 114, 133 миб, 62, 63, 64 пмб
1941-09-01	Да	РФ	24 армия	19, 100, 106, 107, 120, 303, 309 сд, 6 сд НО	275, 488, 685 кап, 305, 573 пап, 105, 544 гап РВГК, 533, 879, 880 ап ПТО, 24 оминб	102, 105 тд, 103 мд	38 сад, 10, 163 иап, 50 бап, 77 шап	37, 88 оиб, 6, 103 миб, 56 мпмб
1941-09-01	Да	РФ	31 армия	119, 247, 249 сд	43 кап, 766 ап ПТО, 231, 232, 281, 282 батареи морских орудий			537 мсб
1941-09-01	Да	РФ	32 армия	2, 7, 8, 13 сд НО	873 ап ПТО
1941-09-01	Да	РФ	33 армия	1, 5, 9, 17, 18, 21 сд НО	876, 878 ап ПТО
