001	1941-07-07	Да
001	1941-07-07	Да	СФ
001	1941-07-07	Да	СФ	7 армия
001	1941-07-07	Да	СФ	7 армия	54 сд
001	1941-07-07	Да	СФ	7 армия	71 сд
001	1941-07-07	Да	СФ	7 армия	168 сд
001	1941-07-07	Да	СФ	7 армия	47 оминб
001	1941-07-07	Да	СФ	7 армия	55 сад
002	1941-07-07	Да	СФ	14 армия
002	1941-07-07	Да	СФ	14 армия	42 ск
002	1941-07-07	Да	СФ	14 армия	104 сд
002	1941-07-07	Да	СФ	14 армия	122 сд
002	1941-07-07	Да	СФ	14 армия	52 сд
002	1941-07-07	Да	СФ	14 армия	104 пап РГК
002	1941-07-07	Да	СФ	14 армия	1 тд
003	1941-07-07	Да	СФ	23 армия
003	1941-07-07	Да	СФ	23 армия	19 ск
003	1941-07-07	Да	СФ	23 армия	115 сд
003	1941-07-07	Да	СФ	23 армия	142 сд
003	1941-07-07	Да	СФ	23 армия	50 ск 
003	1941-07-07	Да	СФ	23 армия	43 сд
003	1941-07-07	Да	СФ	23 армия	123 сд
003	1941-07-07	Да	СФ	23 армия	27 УР
003	1941-07-07	Да	СФ	23 армия	28 УР
003	1941-07-07	Да	СФ	23 армия	24 кап
003	1941-07-07	Да	СФ	23 армия	28 кап
003	1941-07-07	Да	СФ	23 армия	108 гап б/м РГК
003	1941-07-07	Да	СФ	23 армия	27 озад
003	1941-07-07	Да	СФ	23 армия	241 озад
003	1941-07-07	Да	СФ	23 армия	485 озад
003	1941-07-07	Да	СФ	23 армия	198 мд
003	1941-07-07	Да	СФ	23 армия	5 сад
004	1941-07-07	Да	СФ	Лужская опер. группа
004	1941-07-07	Да	СФ	Лужская опер. группа	10 мк
004	1941-07-07	Да	СФ	Лужская опер. группа	24 тд
005	1941-07-07	Да	СФ	Ленинградская армия НО
005	1941-07-07	Да	СФ	Ленинградская армия НО	2 сд НО
005	1941-07-07	Да	СФ	Ленинградская армия НО	3 сд НО
005	1941-07-07	Да	СФ	Ленинградская армия НО	4 сд НО
005	1941-07-07	Да	СФ	Ленинградская армия НО	2 сд НО Московского р
005	1941-07-07	Да	СФ	Ленинградская армия НО	3 сд НО Фрунзенского р
005	1941-07-07	Да	СФ	Ленинградская армия НО	4 сд НО Дзержинского р
005	1941-07-07	Да	СФ	Ленинградская армия НО	5 сд НО Куйбышевского р
005	1941-07-07	Да	СФ	Ленинградская армия НО	7 сд НО
005	1941-07-07	Да	СФ	Ленинградская армия НО	4 резервная сд.
006	1941-07-07	Да	СЗФ
006	1941-07-07	Да	СЗФ	8 армия
006	1941-07-07	Да	СЗФ	8 армия	10 ск
006	1941-07-07	Да	СЗФ	8 армия	10 сд
006	1941-07-07	Да	СЗФ	8 армия	90 сд
006	1941-07-07	Да	СЗФ	8 армия	11 ск 
006	1941-07-07	Да	СЗФ	8 армия	48 сд
006	1941-07-07	Да	СЗФ	8 армия	125 сд
006	1941-07-07	Да	СЗФ	8 армия	11 сд
006	1941-07-07	Да	СЗФ	8 армия	67 сд
006	1941-07-07	Да	СЗФ	8 армия	47 кап
006	1941-07-07	Да	СЗФ	8 армия	51 кап
006	1941-07-07	Да	СЗФ	8 армия	73 кап
006	1941-07-07	Да	СЗФ	8 армия	242 озад
006	1941-07-07	Да	СЗФ	8 армия	12 мк 
006	1941-07-07	Да	СЗФ	8 армия	23 тд
006	1941-07-07	Да	СЗФ	8 армия	28 тд
007	1941-07-07	Да	СЗФ	11 армия
007	1941-07-07	Да	СЗФ	11 армия	16 ск
007	1941-07-07	Да	СЗФ	11 армия	70 сд
007	1941-07-07	Да	СЗФ	11 армия	237 сд
007	1941-07-07	Да	СЗФ	11 армия	41 ск 
007	1941-07-07	Да	СЗФ	11 армия	111 сд
007	1941-07-07	Да	СЗФ	11 армия	118 сд
007	1941-07-07	Да	СЗФ	11 армия	235 сд
007	1941-07-07	Да	СЗФ	11 армия	22 ск 
007	1941-07-07	Да	СЗФ	11 армия	180 сд
007	1941-07-07	Да	СЗФ	11 армия	182 сд
007	1941-07-07	Да	СЗФ	11 армия	183 сд
007	1941-07-07	Да	СЗФ	11 армия	9 арт. бригада ПТО
007	1941-07-07	Да	СЗФ	11 армия	698 ап ПТО
007	1941-07-07	Да	СЗФ	11 армия	1 мк 
007	1941-07-07	Да	СЗФ	11 армия	3 тд
007	1941-07-07	Да	СЗФ	11 армия	5 мцп
008	1941-07-07	Да	СЗФ	27 армия
008	1941-07-07	Да	СЗФ	27 армия	24 ск
008	1941-07-07	Да	СЗФ	27 армия	128 сд
008	1941-07-07	Да	СЗФ	27 армия	181 сд
008	1941-07-07	Да	СЗФ	27 армия	29 ск 
008	1941-07-07	Да	СЗФ	27 армия	5 сд
008	1941-07-07	Да	СЗФ	27 армия	126 сд
008	1941-07-07	Да	СЗФ	27 армия	188 сд
008	1941-07-07	Да	СЗФ	27 армия	65 ск 
008	1941-07-07	Да	СЗФ	27 армия	23 сд
008	1941-07-07	Да	СЗФ	27 армия	33 сд
008	1941-07-07	Да	СЗФ	27 армия	5 вдк 
008	1941-07-07	Да	СЗФ	27 армия	9 вдбр
008	1941-07-07	Да	СЗФ	27 армия	10 вдбр
008	1941-07-07	Да	СЗФ	27 армия	201 вдбр
008	1941-07-07	Да	СЗФ	27 армия	10 арт. бригада ПТО
008	1941-07-07	Да	СЗФ	27 армия	448 кап
008	1941-07-07	Да	СЗФ	27 армия	613 кап
008	1941-07-07	Да	СЗФ	27 армия	19 озад
008	1941-07-07	Да	СЗФ	27 армия	111 озад
008	1941-07-07	Да	СЗФ	27 армия	21 мк 
008	1941-07-07	Да	СЗФ	27 армия	42 тд
008	1941-07-07	Да	СЗФ	27 армия	46 тд
008	1941-07-07	Да	СЗФ	27 армия	11 мцп
009	1941-07-07	Да	СЗФ	16 сд
009	1941-07-07	Да	СЗФ	25  
009	1941-07-07	Да	СЗФ	46  
009	1941-07-07	Да	СЗФ	270 кап
009	1941-07-07	Да	СЗФ	615 кап
009	1941-07-07	Да	СЗФ	402 гап б/м РГК
009	1941-07-07	Да	СЗФ	103 озад
009	1941-07-07	Да	СЗФ	247 озад
009	1941-07-07	Да	СЗФ	10 бригады ПВО
009	1941-07-07	Да	СЗФ	12 бригады ПВО
009	1941-07-07	Да	СЗФ	14 бригады ПВО
009	1941-07-07	Да	СЗФ	8 иад
009	1941-07-07	Да	СЗФ	6 сад
009	1941-07-07	Да	СЗФ	7 сад
009	1941-07-07	Да	СЗФ	57 сад
010	1941-07-07	Да	ЗФ
010	1941-07-07	Да	ЗФ	4 армия
010	1941-07-07	Да	ЗФ	4 армия	28 ск
010	1941-07-07	Да	ЗФ	4 армия	6 сд
010	1941-07-07	Да	ЗФ	4 армия	42 сд
010	1941-07-07	Да	ЗФ	4 армия	55 сд
010	1941-07-07	Да	ЗФ	4 армия	143 сд
010	1941-07-07	Да	ЗФ	4 армия	47 ск 
010	1941-07-07	Да	ЗФ	4 армия	121 сд
010	1941-07-07	Да	ЗФ	4 армия	155 сд
010	1941-07-07	Да	ЗФ	4 армия	455 кап
010	1941-07-07	Да	ЗФ	4 армия	462 кап
010	1941-07-07	Да	ЗФ	4 армия	420 кап
010	1941-07-07	Да	ЗФ	4 армия	447 кап
011	1941-07-07	Да	ЗФ	13 армия
011	1941-07-07	Да	ЗФ	13 армия	45 ск
011	1941-07-07	Да	ЗФ	13 армия	148 сд
011	1941-07-07	Да	ЗФ	13 армия	187 сд
011	1941-07-07	Да	ЗФ	13 армия	20 ск 
011	1941-07-07	Да	ЗФ	13 армия	132 сд
011	1941-07-07	Да	ЗФ	13 армия	137 сд
