001	1941-09-01	ДА
001	1941-09-01	ДА	СФ
001	1941-09-01	ДА	СФ	7 армия
001	1941-09-01	ДА	СФ	7 армия	54 сд
001	1941-09-01	ДА	СФ	7 армия	71 сд
001	1941-09-01	ДА	СФ	7 армия	3 бр. морской пехоты
001	1941-09-01	ДА	СФ	7 армия	24 мсп
001	1941-09-01	ДА	СФ	7 армия	452 мсп
001	1941-09-01	ДА	СФ	7 армия	108 гап б/м РГК
001	1941-09-01	ДА	СФ	7 армия	2 тп
001	1941-09-01	ДА	СФ	7 армия	55 сад
002	1941-09-01	ДА	СФ	8 армия
002	1941-09-01	ДА	СФ	8 армия	10 ск
002	1941-09-01	ДА	СФ	8 армия	10 сд
002	1941-09-01	ДА	СФ	8 армия	11 сд
002	1941-09-01	ДА	СФ	8 армия	11 ск 
002	1941-09-01	ДА	СФ	8 армия	16 сд
002	1941-09-01	ДА	СФ	8 армия	48 сд
002	1941-09-01	ДА	СФ	8 армия	125 сд
002	1941-09-01	ДА	СФ	8 армия	268 сд
002	1941-09-01	ДА	СФ	8 армия	47 кап
002	1941-09-01	ДА	СФ	8 армия	51 кап
002	1941-09-01	ДА	СФ	8 армия	73 кап
002	1941-09-01	ДА	СФ	8 армия	103 озад
003	1941-09-01	ДА	СФ	14 армия
003	1941-09-01	ДА	СФ	14 армия	42 ск
003	1941-09-01	ДА	СФ	14 армия	104 сд
003	1941-09-01	ДА	СФ	14 армия	122 сд
003	1941-09-01	ДА	СФ	14 армия	14 сд
003	1941-09-01	ДА	СФ	14 армия	52 сд
003	1941-09-01	ДА	СФ	14 армия	1 мсп 
003	1941-09-01	ДА	СФ	14 армия	1 тд
003	1941-09-01	ДА	СФ	14 армия	104 пап РГК
003	1941-09-01	ДА	СФ	14 армия	1 сад
004	1941-09-01	ДА	СФ	23 армия
004	1941-09-01	ДА	СФ	23 армия	19 ск
004	1941-09-01	ДА	СФ	23 армия	115 сд
