001	1941-09-01	Да
001	1941-09-01	Да	КарФ
001	1941-09-01	Да	КарФ	7 армия
001	1941-09-01	Да	КарФ	7 армия	54 сд
001	1941-09-01	Да	КарФ	7 армия	71 сд
001	1941-09-01	Да	КарФ	7 армия	272 сд
001	1941-09-01	Да	КарФ	7 армия	51 отб
001	1941-09-01	Да	КарФ	7 армия	106 отб
001	1941-09-01	Да	КарФ	7 армия	55 сад
001	1941-09-01	Да	КарФ	7 армия	18 оиб
001	1941-09-01	Да	КарФ	7 армия	184 осб
002	1941-09-01	Да	КарФ	7 армия	9 мсп
002	1941-09-01	Да	КарФ	7 армия	24 мсп
003	1941-09-01	Да	КарФ	7 армия	3 сд НО
003	1941-09-01	Да	КарФ	7 армия	452 мсп
004	1941-09-01	Да	КарФ	14 армия
004	1941-09-01	Да	КарФ	14 армия	42 ск
004	1941-09-01	Да	КарФ	14 армия	104 сд
004	1941-09-01	Да	КарФ	14 армия	122 сд
004	1941-09-01	Да	КарФ	14 армия	14 сд
004	1941-09-01	Да	КарФ	14 армия	52 сд
004	1941-09-01	Да	КарФ	14 армия	88 сд
004	1941-09-01	Да	КарФ	14 армия	1 мсп 
004	1941-09-01	Да	КарФ	14 армия	1 тд
004	1941-09-01	Да	КарФ	14 армия	23 УР
004	1941-09-01	Да	КарФ	14 армия	104 пап РВГК
004	1941-09-01	Да	КарФ	14 армия	107 отб
004	1941-09-01	Да	КарФ	14 армия	1 сад
004	1941-09-01	Да	КарФ	14 армия	19 оиб
004	1941-09-01	Да	КарФ	14 армия	116 осб
005	1941-09-01	Да	КарФ	208 озад
006	1941-09-01	Да	ЛФ
006	1941-09-01	Да	ЛФ	8 армия
006	1941-09-01	Да	ЛФ	8 армия	11 сд
006	1941-09-01	Да	ЛФ	8 армия	48 сд
006	1941-09-01	Да	ЛФ	8 армия	118 сд
006	1941-09-01	Да	ЛФ	8 армия	125 сд
006	1941-09-01	Да	ЛФ	8 армия	191 сд
006	1941-09-01	Да	ЛФ	8 армия	268 сд
006	1941-09-01	Да	ЛФ	8 армия	266 опаб
006	1941-09-01	Да	ЛФ	8 армия	47 /24 кап
006	1941-09-01	Да	ЛФ	8 армия	73 /24 кап
006	1941-09-01	Да	ЛФ	8 армия	1 /24 кап
006	1941-09-01	Да	ЛФ	8 армия	103 озад
007	1941-09-01	Да	ЛФ	23 армия
007	1941-09-01	Да	ЛФ	23 армия	19 ск
007	1941-09-01	Да	ЛФ	23 армия	142 сд
007	1941-09-01	Да	ЛФ	23 армия	265 сд
007	1941-09-01	Да	ЛФ	23 армия	43 сд
007	1941-09-01	Да	ЛФ	23 армия	123 сд
007	1941-09-01	Да	ЛФ	23 армия	291 сд
007	1941-09-01	Да	ЛФ	23 армия	708 сп
007	1941-09-01	Да	ЛФ	23 армия	577 гап РВГК
007	1941-09-01	Да	ЛФ	23 армия	241 озад
007	1941-09-01	Да	ЛФ	23 армия	485 озад
007	1941-09-01	Да	ЛФ	23 армия	198 мд
007	1941-09-01	Да	ЛФ	23 армия	7 иап
007	1941-09-01	Да	ЛФ	23 армия	153 иап
007	1941-09-01	Да	ЛФ	23 армия	41 пмб
008	1941-09-01	Да	ЛФ	42 армия
008	1941-09-01	Да	ЛФ	42 армия	198 мд
008	1941-09-01	Да	ЛФ	42 армия	704 ап
008	1941-09-01	Да	ЛФ	42 армия	42 пмб
009	1941-09-01	Да	ЛФ	48 армия
009	1941-09-01	Да	ЛФ	48 армия	128 сд
009	1941-09-01	Да	ЛФ	48 армия	311 сд
009	1941-09-01	Да	ЛФ	48 армия	170 окп
009	1941-09-01	Да	ЛФ	48 армия	541 гап РВГК
009	1941-09-01	Да	ЛФ	48 армия	21 тд
009	1941-09-01	Да	ЛФ	48 армия	109 миб
010	1941-09-01	Да	ЛФ	55 армия
010	1941-09-01	Да	ЛФ	55 армия	3 гв. сд НО
010	1941-09-01	Да	ЛФ	55 армия	2 сп
010	1941-09-01	Да	ЛФ	55 армия	14 арт. бригада ПТО
010	1941-09-01	Да	ЛФ	55 армия	47 оминб
010	1941-09-01	Да	ЛФ	55 армия	84 отб
010	1941-09-01	Да	ЛФ	55 армия	86 отб
011	1941-09-01	Да	ЛФ	Копорская опер. группа
011	1941-09-01	Да	ЛФ	Копорская опер. группа	522 сп
011	1941-09-01	Да	ЛФ	Копорская опер. группа	191 сд
011	1941-09-01	Да	ЛФ	Копорская опер. группа	519 гап РВГК
011	1941-09-01	Да	ЛФ	Копорская опер. группа	1 тд 
011	1941-09-01	Да	ЛФ	Копорская опер. группа	24 тп
011	1941-09-01	Да	ЛФ	Копорская опер. группа	295 осб
012	1941-09-01	Да	ЛФ	Южная опер. группа
012	1941-09-01	Да	ЛФ	Южная опер. группа	41 ск
012	1941-09-01	Да	ЛФ	Южная опер. группа	111 сд
012	1941-09-01	Да	ЛФ	Южная опер. группа	177 сд
012	1941-09-01	Да	ЛФ	Южная опер. группа	235 сд
012	1941-09-01	Да	ЛФ	Южная опер. группа	1 сп 
012	1941-09-01	Да	ЛФ	Южная опер. группа	3 сд НО
012	1941-09-01	Да	ЛФ	Южная опер. группа	260 опаб
012	1941-09-01	Да	ЛФ	Южная опер. группа	262 опаб
012	1941-09-01	Да	ЛФ	Южная опер. группа	274 опаб
012	1941-09-01	Да	ЛФ	Южная опер. группа	24 тд
012	1941-09-01	Да	ЛФ	Южная опер. группа	24 пмб
013	1941-09-01	Да	ЛФ	3 сп
013	1941-09-01	Да	ЛФ	1 сд НО
013	1941-09-01	Да	ЛФ	22 УР
013	1941-09-01	Да	ЛФ	29 УР
013	1941-09-01	Да	ЛФ	101 гап
013	1941-09-01	Да	ЛФ	16 оминб
013	1941-09-01	Да	ЛФ	20 оминб
013	1941-09-01	Да	ЛФ	2 корпус ПВО
013	1941-09-01	Да	ЛФ	1 тд
013	1941-09-01	Да	ЛФ	7 иак ПВО
013	1941-09-01	Да	ЛФ	39 иад
013	1941-09-01	Да	ЛФ	53 оиб
013	1941-09-01	Да	ЛФ	54 оиб
014	1941-09-01	Да	СЗФ
014	1941-09-01	Да	СЗФ	11 армия
014	1941-09-01	Да	СЗФ	11 армия	180 сд
014	1941-09-01	Да	СЗФ	11 армия	182 сд
