001	1942-02-01	ДА
001	1942-02-01	ДА	КарФ
001	1942-02-01	ДА	КарФ	14 армия
001	1942-02-01	ДА	КарФ	14 армия	10 гв.
001	1942-02-01	ДА	КарФ	14 армия	104 сд
001	1942-02-01	ДА	КарФ	14 армия	122 сд
001	1942-02-01	ДА	КарФ	14 армия	77 морские сбр
001	1942-02-01	ДА	КарФ	14 армия	73 ап
001	1942-02-01	ДА	КарФ	14 армия	487 озадн
001	1942-02-01	ДА	КарФ	14 армия	107 отб
001	1942-02-01	ДА	КарФ	14 армия	1 сад
001	1942-02-01	ДА	КарФ	14 армия	34 осб
001	1942-02-01	ДА	КарФ	14 армия	279 осб
002	1942-02-01	ДА	КарФ	Кемская оперативная группа
002	1942-02-01	ДА	КарФ	Кемская оперативная группа	27 сд
002	1942-02-01	ДА	КарФ	Кемская оперативная группа	54 сд
002	1942-02-01	ДА	КарФ	Кемская оперативная группа	88 сд
002	1942-02-01	ДА	КарФ	Кемская оперативная группа	80 морские сбр
003	1942-02-01	ДА	КарФ	Медвежегорская оперативная группа
003	1942-02-01	ДА	КарФ	Медвежегорская оперативная группа	71 сд
003	1942-02-01	ДА	КарФ	Медвежегорская оперативная группа	313 сд
003	1942-02-01	ДА	КарФ	Медвежегорская оперативная группа	17 оминб
003	1942-02-01	ДА	КарФ	Медвежегорская оперативная группа	4 отб
003	1942-02-01	ДА	КарФ	Медвежегорская оперативная группа	1 сбр
004	1942-02-01	ДА	КарФ	Масельская оперативная группа
004	1942-02-01	ДА	КарФ	Масельская оперативная группа	1861 сд
004	1942-02-01	ДА	КарФ	Масельская оперативная группа	289 сд
004	1942-02-01	ДА	КарФ	Масельская оперативная группа	367 сд
004	1942-02-01	ДА	КарФ	Масельская оперативная группа	65 морские сбр
004	1942-02-01	ДА	КарФ	Масельская оперативная группа	66 морские сбр
004	1942-02-01	ДА	КарФ	Масельская оперативная группа	85 морские сбр
004	1942-02-01	ДА	КарФ	Масельская оперативная группа	208 озадн
004	1942-02-01	ДА	КарФ	Масельская оперативная группа	227 отр
004	1942-02-01	ДА	КарФ	Масельская оперативная группа	19 оиб
005	1942-02-01	ДА	КарФ	37 сд
005	1942-02-01	ДА	КарФ	263 сд
005	1942-02-01	ДА	КарФ	15 оминб
005	1942-02-01	ДА	КарФ	16 оминб
005	1942-02-01	ДА	КарФ	32 озадн
005	1942-02-01	ДА	КарФ	261 озадн
005	1942-02-01	ДА	КарФ	298 озадн
005	1942-02-01	ДА	КарФ	103 сад
005	1942-02-01	ДА	КарФ	1215 осб
005	1942-02-01	ДА	КарФ	1216 осб
006	1942-02-01	ДА	ЛФ
006	1942-02-01	ДА	ЛФ	8 армия
006	1942-02-01	ДА	ЛФ	8 армия	128 сд
006	1942-02-01	ДА	ЛФ	8 армия	265 сд
006	1942-02-01	ДА	ЛФ	8 армия	286 сд
006	1942-02-01	ДА	ЛФ	8 армия	294 сд
006	1942-02-01	ДА	ЛФ	8 армия	1 гсбр
006	1942-02-01	ДА	ЛФ	8 армия	882 ап
006	1942-02-01	ДА	ЛФ	8 армия	21 тд
006	1942-02-01	ДА	ЛФ	8 армия	2 осб
006	1942-02-01	ДА	ЛФ	8 армия	12 осб
006	1942-02-01	ДА	ЛФ	8 армия	112 осб
007	1942-02-01	ДА	ЛФ	23 армия
007	1942-02-01	ДА	ЛФ	23 армия	123 сд
007	1942-02-01	ДА	ЛФ	23 армия	142 сд
007	1942-02-01	ДА	ЛФ	23 армия	291 сд
007	1942-02-01	ДА	ЛФ	23 армия	260 гап
007	1942-02-01	ДА	ЛФ	23 армия	577 гап
007	1942-02-01	ДА	ЛФ	23 армия	241 озадн
007	1942-02-01	ДА	ЛФ	23 армия	106 отб
007	1942-02-01	ДА	ЛФ	23 армия	5 сад
007	1942-02-01	ДА	ЛФ	23 армия	234 осб
008	1942-02-01	ДА	ЛФ	42 армия
008	1942-02-01	ДА	ЛФ	42 армия	13 сд
008	1942-02-01	ДА	ЛФ	42 армия	189 сд
008	1942-02-01	ДА	ЛФ	42 армия	247 опаб
008	1942-02-01	ДА	ЛФ	42 армия	291 опаб
008	1942-02-01	ДА	ЛФ	42 армия	292 опаб
008	1942-02-01	ДА	ЛФ	42 армия	14 абр ПТО
008	1942-02-01	ДА	ЛФ	42 армия	47 ап
008	1942-02-01	ДА	ЛФ	42 армия	73 ап
008	1942-02-01	ДА	ЛФ	42 армия	2 ап ПТО
008	1942-02-01	ДА	ЛФ	42 армия	3 ап ПТО
008	1942-02-01	ДА	ЛФ	42 армия	4 ап ПТО
008	1942-02-01	ДА	ЛФ	42 армия	5 ап ПТО
008	1942-02-01	ДА	ЛФ	42 армия	89 озадн
008	1942-02-01	ДА	ЛФ	42 армия	51 отб
008	1942-02-01	ДА	ЛФ	42 армия	29 оиб
008	1942-02-01	ДА	ЛФ	42 армия	54 оиб
008	1942-02-01	ДА	ЛФ	42 армия	106 оиб
009	1942-02-01	ДА	ЛФ	54 армия
009	1942-02-01	ДА	ЛФ	54 армия	3 гв.
009	1942-02-01	ДА	ЛФ	54 армия	80 сд
009	1942-02-01	ДА	ЛФ	54 армия	115 сд
009	1942-02-01	ДА	ЛФ	54 армия	177 сд
009	1942-02-01	ДА	ЛФ	54 армия	198 сд
009	1942-02-01	ДА	ЛФ	54 армия	281 сд
009	1942-02-01	ДА	ЛФ	54 армия	285 сд
009	1942-02-01	ДА	ЛФ	54 армия	311 сд
009	1942-02-01	ДА	ЛФ	54 армия	4 олыжб
009	1942-02-01	ДА	ЛФ	54 армия	5 олыжб
009	1942-02-01	ДА	ЛФ	54 армия	883 ап
009	1942-02-01	ДА	ЛФ	54 армия	3 оадн о/м
009	1942-02-01	ДА	ЛФ	54 армия	51 огв. мдн
009	1942-02-01	ДА	ЛФ	54 армия	122 тбр
009	1942-02-01	ДА	ЛФ	54 армия	18 бап
009	1942-02-01	ДА	ЛФ	54 армия	691 бап
009	1942-02-01	ДА	ЛФ	54 армия	5 оиб
009	1942-02-01	ДА	ЛФ	54 армия	136 оиб
009	1942-02-01	ДА	ЛФ	54 армия	262 оиб
010	1942-02-01	ДА	ЛФ	55 армия
010	1942-02-01	ДА	ЛФ	55 армия	43 сд
010	1942-02-01	ДА	ЛФ	55 армия	56 сд
010	1942-02-01	ДА	ЛФ	55 армия	70 сд
010	1942-02-01	ДА	ЛФ	55 армия	72 сд
010	1942-02-01	ДА	ЛФ	55 армия	85 сд
010	1942-02-01	ДА	ЛФ	55 армия	90 сд
010	1942-02-01	ДА	ЛФ	55 армия	125 сд
010	1942-02-01	ДА	ЛФ	55 армия	268 сд
010	1942-02-01	ДА	ЛФ	55 армия	267 опаб
010	1942-02-01	ДА	ЛФ	55 армия	283 опаб
010	1942-02-01	ДА	ЛФ	55 армия	289 опаб
010	1942-02-01	ДА	ЛФ	55 армия	290 опаб
010	1942-02-01	ДА	ЛФ	55 армия	24 ап
010	1942-02-01	ДА	ЛФ	55 армия	28 ап
010	1942-02-01	ДА	ЛФ	55 армия	2 оадн о/м
010	1942-02-01	ДА	ЛФ	55 армия	4 оадн о/м
010	1942-02-01	ДА	ЛФ	55 армия	70 озадн
010	1942-02-01	ДА	ЛФ	55 армия	71 озадн
010	1942-02-01	ДА	ЛФ	55 армия	84 отб
010	1942-02-01	ДА	ЛФ	55 армия	86 отб
010	1942-02-01	ДА	ЛФ	55 армия	28 отд. бронепоезд
010	1942-02-01	ДА	ЛФ	55 армия	325 осб
010	1942-02-01	ДА	ЛФ	55 армия	367 оиб
011	1942-02-01	ДА	ЛФ	Невская оперативная группа
011	1942-02-01	ДА	ЛФ	Невская оперативная группа	10 сд
011	1942-02-01	ДА	ЛФ	Невская оперативная группа	86 сд
011	1942-02-01	ДА	ЛФ	Невская оперативная группа	6 ап ПТО
011	1942-02-01	ДА	ЛФ	Невская оперативная группа	7 ап ПТО
011	1942-02-01	ДА	ЛФ	Невская оперативная группа	48 отб
012	1942-02-01	ДА	ЛФ	Приморская оперативная группа
012	1942-02-01	ДА	ЛФ	Приморская оперативная группа	48 сд
012	1942-02-01	ДА	ЛФ	Приморская оперативная группа	168 сд
