001	1944-09-01	ДА
001	1944-09-01	ДА	КаоФ
001	1944-09-01	ДА	КаоФ	7 армия
001	1944-09-01	ДА	КаоФ	7 армия	4 ск
001	1944-09-01	ДА	КаоФ	7 армия	114 сд
001	1944-09-01	ДА	КаоФ	7 армия	272 сд
001	1944-09-01	ДА	КаоФ	7 армия	99 ск 
001	1944-09-01	ДА	КаоФ	7 армия	18 сд
001	1944-09-01	ДА	КаоФ	7 армия	65 сд
001	1944-09-01	ДА	КаоФ	7 армия	310 сд
001	1944-09-01	ДА	КаоФ	7 армия	30 лыжбр
001	1944-09-01	ДА	КаоФ	7 армия	32 лыжбр
001	1944-09-01	ДА	КаоФ	7 армия	162 УР
001	1944-09-01	ДА	КаоФ	7 армия	149 кап
001	1944-09-01	ДА	КаоФ	7 армия	633 кап
001	1944-09-01	ДА	КаоФ	7 армия	1942 кап
001	1944-09-01	ДА	КаоФ	7 армия	460 иптап
001	1944-09-01	ДА	КаоФ	7 армия	514 иптап
001	1944-09-01	ДА	КаоФ	7 армия	530 минп
001	1944-09-01	ДА	КаоФ	7 армия	535 минп
001	1944-09-01	ДА	КаоФ	7 армия	619 минп
001	1944-09-01	ДА	КаоФ	7 армия	46 гв. мп
001	1944-09-01	ДА	КаоФ	7 армия	64 гв. мп
001	1944-09-01	ДА	КаоФ	7 армия	1407 зенап
001	1944-09-01	ДА	КаоФ	7 армия	1415 зенап
001	1944-09-01	ДА	КаоФ	7 армия	1527 зенап
001	1944-09-01	ДА	КаоФ	7 армия	54 озадн
001	1944-09-01	ДА	КаоФ	7 армия	268 озадн
001	1944-09-01	ДА	КаоФ	7 армия	616 озадн
001	1944-09-01	ДА	КаоФ	7 армия	7 гв. тбр
001	1944-09-01	ДА	КаоФ	7 армия	92 отп
001	1944-09-01	ДА	КаоФ	7 армия	339 гв. тсап
001	1944-09-01	ДА	КаоФ	7 армия	20 шисбр
001	1944-09-01	ДА	КаоФ	7 армия	18 оиб
001	1944-09-01	ДА	КаоФ	7 армия	7 ооб
001	1944-09-01	ДА	КаоФ	7 армия	28 ооб
002	1944-09-01	ДА	КаоФ	14 армия
002	1944-09-01	ДА	КаоФ	14 армия	126 лгск
002	1944-09-01	ДА	КаоФ	14 армия	72 морсбр
002	1944-09-01	ДА	КаоФ	14 армия	14 сд
002	1944-09-01	ДА	КаоФ	14 армия	901 горн.
002	1944-09-01	ДА	КаоФ	14 армия	1236 пап
002	1944-09-01	ДА	КаоФ	14 армия	275 минп
002	1944-09-01	ДА	КаоФ	14 армия	297 минп
002	1944-09-01	ДА	КаоФ	14 армия	156 зенап
002	1944-09-01	ДА	КаоФ	14 армия	487 озадн
002	1944-09-01	ДА	КаоФ	14 армия	31 оиб
003	1944-09-01	ДА	КаоФ	19 армия
003	1944-09-01	ДА	КаоФ	19 армия	21 сд
003	1944-09-01	ДА	КаоФ	19 армия	67 сд
003	1944-09-01	ДА	КаоФ	19 армия	104 сд
003	1944-09-01	ДА	КаоФ	19 армия	122 сд
003	1944-09-01	ДА	КаоФ	19 армия	341 сд
003	1944-09-01	ДА	КаоФ	19 армия	1216 кап
003	1944-09-01	ДА	КаоФ	19 армия	1293 пап
003	1944-09-01	ДА	КаоФ	19 армия	566 минп
003	1944-09-01	ДА	КаоФ	19 армия	59 гв. мп
003	1944-09-01	ДА	КаоФ	19 армия	305 гв. мп
003	1944-09-01	ДА	КаоФ	19 армия	48 озадн
003	1944-09-01	ДА	КаоФ	19 армия	208 озадн
003	1944-09-01	ДА	КаоФ	19 армия	261 озадн
003	1944-09-01	ДА	КаоФ	19 армия	38 гв. тбр
003	1944-09-01	ДА	КаоФ	19 армия	88 отп
003	1944-09-01	ДА	КаоФ	19 армия	279 оиб
