001	1944-12-01	ДА
001	1944-12-01	ДА	ЛФ
001	1944-12-01	ДА	ЛФ	8 армия
001	1944-12-01	ДА	ЛФ	8 армия	30 гв. ск
001	1944-12-01	ДА	ЛФ	8 армия	45 гв. сд
001	1944-12-01	ДА	ЛФ	8 армия	63 гв. сд
001	1944-12-01	ДА	ЛФ	8 армия	64 гв. сд
001	1944-12-01	ДА	ЛФ	8 армия	8 ск 
001	1944-12-01	ДА	ЛФ	8 армия	7 сд
001	1944-12-01	ДА	ЛФ	8 армия	249 сд
001	1944-12-01	ДА	ЛФ	8 армия	109 ск 
001	1944-12-01	ДА	ЛФ	8 армия	109 сд
001	1944-12-01	ДА	ЛФ	8 армия	131 сд
001	1944-12-01	ДА	ЛФ	8 армия	9 УР
001	1944-12-01	ДА	ЛФ	8 армия	79 УР
001	1944-12-01	ДА	ЛФ	8 армия	51 пабр
001	1944-12-01	ДА	ЛФ	8 армия	161 пабр
001	1944-12-01	ДА	ЛФ	8 армия	85 кап
001	1944-12-01	ДА	ЛФ	8 армия	1157 кап
001	1944-12-01	ДА	ЛФ	8 армия	260 пап
001	1944-12-01	ДА	ЛФ	8 армия	174 минп
001	1944-12-01	ДА	ЛФ	8 армия	184 минп
001	1944-12-01	ДА	ЛФ	8 армия	499 минп
001	1944-12-01	ДА	ЛФ	8 армия	505 минп
001	1944-12-01	ДА	ЛФ	8 армия	7 зенад 
001	1944-12-01	ДА	ЛФ	8 армия	465 зенап
001	1944-12-01	ДА	ЛФ	8 армия	474 зенап
001	1944-12-01	ДА	ЛФ	8 армия	602 зенап
001	1944-12-01	ДА	ЛФ	8 армия	632 зенап
001	1944-12-01	ДА	ЛФ	8 армия	108 озадн
001	1944-12-01	ДА	ЛФ	8 армия	432 озадн
001	1944-12-01	ДА	ЛФ	8 армия	27 отп
001	1944-12-01	ДА	ЛФ	8 армия	45 отп
001	1944-12-01	ДА	ЛФ	8 армия	952 сап
001	1944-12-01	ДА	ЛФ	8 армия	1294 сап
001	1944-12-01	ДА	ЛФ	8 армия	1495 сап
001	1944-12-01	ДА	ЛФ	8 армия	283 омб 
001	1944-12-01	ДА	ЛФ	8 армия	71 одн брп
001	1944-12-01	ДА	ЛФ	8 армия	72 одн брп
001	1944-12-01	ДА	ЛФ	8 армия	1 исбр
001	1944-12-01	ДА	ЛФ	8 армия	175 орро
002	1944-12-01	ДА	ЛФ	23 армия
002	1944-12-01	ДА	ЛФ	23 армия	6 ск
002	1944-12-01	ДА	ЛФ	23 армия	10 сд
002	1944-12-01	ДА	ЛФ	23 армия	224 сд
002	1944-12-01	ДА	ЛФ	23 армия	382 сд
002	1944-12-01	ДА	ЛФ	23 армия	97 ск 
002	1944-12-01	ДА	ЛФ	23 армия	177 сд
002	1944-12-01	ДА	ЛФ	23 армия	178 сд
002	1944-12-01	ДА	ЛФ	23 армия	327 сд
002	1944-12-01	ДА	ЛФ	23 армия	47 гв. пабр
002	1944-12-01	ДА	ЛФ	23 армия	175 минп
002	1944-12-01	ДА	ЛФ	23 армия	567 минп
002	1944-12-01	ДА	ЛФ	23 армия	1469 зенап
002	1944-12-01	ДА	ЛФ	23 армия	168 озадн
002	1944-12-01	ДА	ЛФ	23 армия	618 озадн
002	1944-12-01	ДА	ЛФ	23 армия	396 гв. тсап
002	1944-12-01	ДА	ЛФ	23 армия	23 одн брп
002	1944-12-01	ДА	ЛФ	23 армия	20 исбр
003	1944-12-01	ДА	ЛФ	59 армия
003	1944-12-01	ДА	ЛФ	59 армия	43 ск
003	1944-12-01	ДА	ЛФ	59 армия	13 сд
003	1944-12-01	ДА	ЛФ	59 армия	80 сд
003	1944-12-01	ДА	ЛФ	59 армия	314 сд
003	1944-12-01	ДА	ЛФ	59 армия	115 ск 
003	1944-12-01	ДА	ЛФ	59 армия	92 сд
003	1944-12-01	ДА	ЛФ	59 армия	135 сд
003	1944-12-01	ДА	ЛФ	59 армия	286 сд
003	1944-12-01	ДА	ЛФ	59 армия	127 пабр
003	1944-12-01	ДА	ЛФ	59 армия	883 иптап
003	1944-12-01	ДА	ЛФ	59 армия	70 гв. мп
003	1944-12-01	ДА	ЛФ	59 армия	22 исбр
004	1944-12-01	ДА	ЛФ	67 армия
004	1944-12-01	ДА	ЛФ	67 армия	111 ск
004	1944-12-01	ДА	ЛФ	67 армия	189 сд
004	1944-12-01	ДА	ЛФ	67 армия	196 сд
004	1944-12-01	ДА	ЛФ	67 армия	122 ск 
004	1944-12-01	ДА	ЛФ	67 армия	56 сд
004	1944-12-01	ДА	ЛФ	67 армия	85 сд
004	1944-12-01	ДА	ЛФ	67 армия	201 сд
004	1944-12-01	ДА	ЛФ	67 армия	14 УР
004	1944-12-01	ДА	ЛФ	67 армия	7 пабр
004	1944-12-01	ДА	ЛФ	67 армия	37 гв. кап
