001	2018-04-01	ДА
001	2018-04-01	ДА	ЛФ Курляндская группа войск
001	2018-04-01	ДА	ЛФ Курляндская группа войск	1 ударная армия
001	2018-04-01	ДА	ЛФ Курляндская группа войск	1 ударная армия	112 ск
001	2018-04-01	ДА	ЛФ Курляндская группа войск	1 ударная армия	44 сд
001	2018-04-01	ДА	ЛФ Курляндская группа войск	1 ударная армия	123 сд
001	2018-04-01	ДА	ЛФ Курляндская группа войск	1 ударная армия	377 сд
001	2018-04-01	ДА	ЛФ Курляндская группа войск	1 ударная армия	119 ск 
001	2018-04-01	ДА	ЛФ Курляндская группа войск	1 ударная армия	37 сд
001	2018-04-01	ДА	ЛФ Курляндская группа войск	1 ударная армия	306 сд
001	2018-04-01	ДА	ЛФ Курляндская группа войск	1 ударная армия	374 сд
001	2018-04-01	ДА	ЛФ Курляндская группа войск	1 ударная армия	123 ск 
001	2018-04-01	ДА	ЛФ Курляндская группа войск	1 ударная армия	21 гв.
001	2018-04-01	ДА	ЛФ Курляндская группа войск	1 ударная армия	376 сд
001	2018-04-01	ДА	ЛФ Курляндская группа войск	1 ударная армия	155 УР
001	2018-04-01	ДА	ЛФ Курляндская группа войск	1 ударная армия	137 пабр
001	2018-04-01	ДА	ЛФ Курляндская группа войск	1 ударная армия	129 кап
001	2018-04-01	ДА	ЛФ Курляндская группа войск	1 ударная армия	110 минп
001	2018-04-01	ДА	ЛФ Курляндская группа войск	1 ударная армия	28 гв. мп
001	2018-04-01	ДА	ЛФ Курляндская группа войск	1 ударная армия	1385 зенап
001	2018-04-01	ДА	ЛФ Курляндская группа войск	1 ударная армия	1391 зенап
001	2018-04-01	ДА	ЛФ Курляндская группа войск	1 ударная армия	1397 зенап
001	2018-04-01	ДА	ЛФ Курляндская группа войск	1 ударная армия	1399 зенап
001	2018-04-01	ДА	ЛФ Курляндская группа войск	1 ударная армия	1473 зенап
001	2018-04-01	ДА	ЛФ Курляндская группа войск	1 ударная армия	221 отп
001	2018-04-01	ДА	ЛФ Курляндская группа войск	1 ударная армия	57 одн брп
001	2018-04-01	ДА	ЛФ Курляндская группа войск	1 ударная армия	62 одн брп
001	2018-04-01	ДА	ЛФ Курляндская группа войск	1 ударная армия	49 исбр
001	2018-04-01	ДА	ЛФ Курляндская группа войск	1 ударная армия	175 миб
001	2018-04-01	ДА	ЛФ Курляндская группа войск	1 ударная армия	176 миб
002	2018-04-01	ДА	ЛФ Курляндская группа войск	4 ударная армия
002	2018-04-01	ДА	ЛФ Курляндская группа войск	4 ударная армия	19 ск
002	2018-04-01	ДА	ЛФ Курляндская группа войск	4 ударная армия	32 сд
002	2018-04-01	ДА	ЛФ Курляндская группа войск	4 ударная армия	92 ск 
002	2018-04-01	ДА	ЛФ Курляндская группа войск	4 ударная армия	156 сд
002	2018-04-01	ДА	ЛФ Курляндская группа войск	4 ударная армия	179 сд
002	2018-04-01	ДА	ЛФ Курляндская группа войск	4 ударная армия	257 сд
002	2018-04-01	ДА	ЛФ Курляндская группа войск	4 ударная армия	138 пабр
002	2018-04-01	ДА	ЛФ Курляндская группа войск	4 ударная армия	556 минп
002	2018-04-01	ДА	ЛФ Курляндская группа войск	4 ударная армия	73 зенад 
002	2018-04-01	ДА	ЛФ Курляндская группа войск	4 ударная армия	205 зенап
002	2018-04-01	ДА	ЛФ Курляндская группа войск	4 ударная армия	402 зенап
002	2018-04-01	ДА	ЛФ Курляндская группа войск	4 ударная армия	430 зенап
002	2018-04-01	ДА	ЛФ Курляндская группа войск	4 ударная армия	442 зенап
002	2018-04-01	ДА	ЛФ Курляндская группа войск	4 ударная армия	272 омб ОСНАЗ
002	2018-04-01	ДА	ЛФ Курляндская группа войск	4 ударная армия	2 исбр
002	2018-04-01	ДА	ЛФ Курляндская группа войск	4 ударная армия	12 ооб
003	2018-04-01	ДА	ЛФ Курляндская группа войск	6 гвардейская армия
003	2018-04-01	ДА	ЛФ Курляндская группа войск	6 гвардейская армия	2 гв. ск
003	2018-04-01	ДА	ЛФ Курляндская группа войск	6 гвардейская армия	9 гв.
003	2018-04-01	ДА	ЛФ Курляндская группа войск	6 гвардейская армия	71 гв.
003	2018-04-01	ДА	ЛФ Курляндская группа войск	6 гвардейская армия	22 гв. ск 
003	2018-04-01	ДА	ЛФ Курляндская группа войск	6 гвардейская армия	46 гв.
003	2018-04-01	ДА	ЛФ Курляндская группа войск	6 гвардейская армия	29 сд
003	2018-04-01	ДА	ЛФ Курляндская группа войск	6 гвардейская армия	30 гв. ск 
003	2018-04-01	ДА	ЛФ Курляндская группа войск	6 гвардейская армия	45 гв. сд
003	2018-04-01	ДА	ЛФ Курляндская группа войск	6 гвардейская армия	63 гв. сд
003	2018-04-01	ДА	ЛФ Курляндская группа войск	6 гвардейская армия	64 гв. сд
003	2018-04-01	ДА	ЛФ Курляндская группа войск	6 гвардейская армия	84 ск 
003	2018-04-01	ДА	ЛФ Курляндская группа войск	6 гвардейская армия	164 сд
003	2018-04-01	ДА	ЛФ Курляндская группа войск	6 гвардейская армия	270 сд
003	2018-04-01	ДА	ЛФ Курляндская группа войск	6 гвардейская армия	20 адп 
003	2018-04-01	ДА	ЛФ Курляндская группа войск	6 гвардейская армия	34 лабр
003	2018-04-01	ДА	ЛФ Курляндская группа войск	6 гвардейская армия	60 габр
003	2018-04-01	ДА	ЛФ Курляндская группа войск	6 гвардейская армия	93 тгабр
003	2018-04-01	ДА	ЛФ Курляндская группа войск	6 гвардейская армия	20 минбр
003	2018-04-01	ДА	ЛФ Курляндская группа войск	6 гвардейская армия	8 пад 
003	2018-04-01	ДА	ЛФ Курляндская группа войск	6 гвардейская армия	26 гв. пабр
003	2018-04-01	ДА	ЛФ Курляндская группа войск	6 гвардейская армия	27 гв. пабр
003	2018-04-01	ДА	ЛФ Курляндская группа войск	6 гвардейская армия	4 пабр
003	2018-04-01	ДА	ЛФ Курляндская группа войск	6 гвардейская армия	29 гв. пабр
003	2018-04-01	ДА	ЛФ Курляндская группа войск	6 гвардейская армия	6 гв. адп 
003	2018-04-01	ДА	ЛФ Курляндская группа войск	6 гвардейская армия	134 габр
003	2018-04-01	ДА	ЛФ Курляндская группа войск	6 гвардейская армия	17 иптабр
003	2018-04-01	ДА	ЛФ Курляндская группа войск	6 гвардейская армия	31 минбр
003	2018-04-01	ДА	ЛФ Курляндская группа войск	6 гвардейская армия	2 гв. мд 
003	2018-04-01	ДА	ЛФ Курляндская группа войск	6 гвардейская армия	17 гв. мбр
003	2018-04-01	ДА	ЛФ Курляндская группа войск	6 гвардейская армия	20 гв. мбр
003	2018-04-01	ДА	ЛФ Курляндская группа войск	6 гвардейская армия	26 гв. мбр
003	2018-04-01	ДА	ЛФ Курляндская группа войск	6 гвардейская армия	2 гв. мп
003	2018-04-01	ДА	ЛФ Курляндская группа войск	6 гвардейская армия	26 гв. мп
003	2018-04-01	ДА	ЛФ Курляндская группа войск	6 гвардейская армия	34 гв. мп
003	2018-04-01	ДА	ЛФ Курляндская группа войск	6 гвардейская армия	39 гв. мп
003	2018-04-01	ДА	ЛФ Курляндская группа войск	6 гвардейская армия	1406 зенап
003	2018-04-01	ДА	ЛФ Курляндская группа войск	6 гвардейская армия	1410 зенап
003	2018-04-01	ДА	ЛФ Курляндская группа войск	6 гвардейская армия	1414 зенап
003	2018-04-01	ДА	ЛФ Курляндская группа войск	6 гвардейская армия	1526 зенап
003	2018-04-01	ДА	ЛФ Курляндская группа войск	6 гвардейская армия	10 гв. тбр
003	2018-04-01	ДА	ЛФ Курляндская группа войск	6 гвардейская армия	1900 сап
003	2018-04-01	ДА	ЛФ Курляндская группа войск	6 гвардейская армия	5 шисбр
003	2018-04-01	ДА	ЛФ Курляндская группа войск	6 гвардейская армия	10 шисбр
003	2018-04-01	ДА	ЛФ Курляндская группа войск	6 гвардейская армия	44 ооб
003	2018-04-01	ДА	ЛФ Курляндская группа войск	6 гвардейская армия	35 ооб
004	2018-04-01	ДА	ЛФ Курляндская группа войск	10 гвардейская армия
004	2018-04-01	ДА	ЛФ Курляндская группа войск	10 гвардейская армия	7 гв. ск
004	2018-04-01	ДА	ЛФ Курляндская группа войск	10 гвардейская армия	7 гв.
004	2018-04-01	ДА	ЛФ Курляндская группа войск	10 гвардейская армия	8 гв.
004	2018-04-01	ДА	ЛФ Курляндская группа войск	10 гвардейская армия	119 гв.
004	2018-04-01	ДА	ЛФ Курляндская группа войск	10 гвардейская армия	15 гв. ск 
004	2018-04-01	ДА	ЛФ Курляндская группа войск	10 гвардейская армия	29 гв. сд
004	2018-04-01	ДА	ЛФ Курляндская группа войск	10 гвардейская армия	30 гв. сд
004	2018-04-01	ДА	ЛФ Курляндская группа войск	10 гвардейская армия	85 гв. сд
004	2018-04-01	ДА	ЛФ Курляндская группа войск	10 гвардейская армия	19 гв. ск 
004	2018-04-01	ДА	ЛФ Курляндская группа войск	10 гвардейская армия	22 гв.
004	2018-04-01	ДА	ЛФ Курляндская группа войск	10 гвардейская армия	56 гв.
004	2018-04-01	ДА	ЛФ Курляндская группа войск	10 гвардейская армия	65 гв.
004	2018-04-01	ДА	ЛФ Курляндская группа войск	10 гвардейская армия	83 ск 
004	2018-04-01	ДА	ЛФ Курляндская группа войск	10 гвардейская армия	119 сд
004	2018-04-01	ДА	ЛФ Курляндская группа войск	10 гвардейская армия	198 сд
004	2018-04-01	ДА	ЛФ Курляндская группа войск	10 гвардейская армия	110 ск 
004	2018-04-01	ДА	ЛФ Курляндская группа войск	10 гвардейская армия	48 сд
004	2018-04-01	ДА	ЛФ Курляндская группа войск	10 гвардейская армия	168 сд
004	2018-04-01	ДА	ЛФ Курляндская группа войск	10 гвардейская армия	268 сд
004	2018-04-01	ДА	ЛФ Курляндская группа войск	10 гвардейская армия	28 адп 
004	2018-04-01	ДА	ЛФ Курляндская группа войск	10 гвардейская армия	188 лабр
004	2018-04-01	ДА	ЛФ Курляндская группа войск	10 гвардейская армия	36 минбр
004	2018-04-01	ДА	ЛФ Курляндская группа войск	10 гвардейская армия	39 гв. мбр
004	2018-04-01	ДА	ЛФ Курляндская группа войск	10 гвардейская армия	19 гв. пабр
004	2018-04-01	ДА	ЛФ Курляндская группа войск	10 гвардейская армия	758 иптап
004	2018-04-01	ДА	ЛФ Курляндская группа войск	10 гвардейская армия	274 минп
004	2018-04-01	ДА	ЛФ Курляндская группа войск	10 гвардейская армия	60 гв. мп
004	2018-04-01	ДА	ЛФ Курляндская группа войск	10 гвардейская армия	85 гв. мп
004	2018-04-01	ДА	ЛФ Курляндская группа войск	10 гвардейская армия	90 гв. мп
004	2018-04-01	ДА	ЛФ Курляндская группа войск	10 гвардейская армия	715 зенап
004	2018-04-01	ДА	ЛФ Курляндская группа войск	10 гвардейская армия	718 зенап
004	2018-04-01	ДА	ЛФ Курляндская группа войск	10 гвардейская армия	721 зенап
004	2018-04-01	ДА	ЛФ Курляндская группа войск	10 гвардейская армия	2013 зенап
004	2018-04-01	ДА	ЛФ Курляндская группа войск	10 гвардейская армия	34 гв. тбр
004	2018-04-01	ДА	ЛФ Курляндская группа войск	10 гвардейская армия	336 гв. тсап
004	2018-04-01	ДА	ЛФ Курляндская группа войск	10 гвардейская армия	346 гв. тсап
004	2018-04-01	ДА	ЛФ Курляндская группа войск	10 гвардейская армия	1048 сап
004	2018-04-01	ДА	ЛФ Курляндская группа войск	10 гвардейская армия	13 исбр
004	2018-04-01	ДА	ЛФ Курляндская группа войск	10 гвардейская армия	56 мпмб
004	2018-04-01	ДА	ЛФ Курляндская группа войск	10 гвардейская армия	58 мпмб
004	2018-04-01	ДА	ЛФ Курляндская группа войск	10 гвардейская армия	42 ооб
005	2018-04-01	ДА	ЛФ Курляндская группа войск	22 армия
005	2018-04-01	ДА	ЛФ Курляндская группа войск	22 армия	14 гв. ск
005	2018-04-01	ДА	ЛФ Курляндская группа войск	22 армия	11 сд
005	2018-04-01	ДА	ЛФ Курляндская группа войск	22 армия	43 сд
005	2018-04-01	ДА	ЛФ Курляндская группа войск	22 армия	288 сд
005	2018-04-01	ДА	ЛФ Курляндская группа войск	22 армия	100 ск 
005	2018-04-01	ДА	ЛФ Курляндская группа войск	22 армия	28 сд
005	2018-04-01	ДА	ЛФ Курляндская группа войск	22 армия	201 сд
005	2018-04-01	ДА	ЛФ Курляндская группа войск	22 армия	219 сд
005	2018-04-01	ДА	ЛФ Курляндская группа войск	22 армия	36 гв. пабр
005	2018-04-01	ДА	ЛФ Курляндская группа войск	22 армия	561 минп
005	2018-04-01	ДА	ЛФ Курляндская группа войск	22 армия	508 зенап
005	2018-04-01	ДА	ЛФ Курляндская группа войск	22 армия	708 зенап
005	2018-04-01	ДА	ЛФ Курляндская группа войск	22 армия	710 зенап
005	2018-04-01	ДА	ЛФ Курляндская группа войск	22 армия	1274 зенап
005	2018-04-01	ДА	ЛФ Курляндская группа войск	22 армия	397 озадн
005	2018-04-01	ДА	ЛФ Курляндская группа войск	22 армия	285 омб ОСНАЗ
005	2018-04-01	ДА	ЛФ Курляндская группа войск	22 армия	26 исбр
005	2018-04-01	ДА	ЛФ Курляндская группа войск	22 армия	206 орро
006	2018-04-01	ДА	ЛФ Курляндская группа войск	42 армия
006	2018-04-01	ДА	ЛФ Курляндская группа войск	42 армия	23 гв. ск
006	2018-04-01	ДА	ЛФ Курляндская группа войск	42 армия	51 гв. сд
006	2018-04-01	ДА	ЛФ Курляндская группа войск	42 армия	67 гв. сд
006	2018-04-01	ДА	ЛФ Курляндская группа войск	42 армия	8 эст. ск 
006	2018-04-01	ДА	ЛФ Курляндская группа войск	42 армия	7 эст. сд
006	2018-04-01	ДА	ЛФ Курляндская группа войск	42 армия	249 эст. сд
006	2018-04-01	ДА	ЛФ Курляндская группа войск	42 армия	122 ск 
006	2018-04-01	ДА	ЛФ Курляндская группа войск	42 армия	56 сд
006	2018-04-01	ДА	ЛФ Курляндская группа войск	42 армия	85 сд
006	2018-04-01	ДА	ЛФ Курляндская группа войск	42 армия	332 сд
006	2018-04-01	ДА	ЛФ Курляндская группа войск	42 армия	130 лат. ск 
006	2018-04-01	ДА	ЛФ Курляндская группа войск	42 армия	43 гв.
006	2018-04-01	ДА	ЛФ Курляндская группа войск	42 армия	118 УР
006	2018-04-01	ДА	ЛФ Курляндская группа войск	42 армия	27 ад 
006	2018-04-01	ДА	ЛФ Курляндская группа войск	42 армия	78 лабр
006	2018-04-01	ДА	ЛФ Курляндская группа войск	42 армия	76 пабр
006	2018-04-01	ДА	ЛФ Курляндская группа войск	42 армия	6 гв. адп 
006	2018-04-01	ДА	ЛФ Курляндская группа войск	42 армия	87 тгабр
006	2018-04-01	ДА	ЛФ Курляндская группа войск	42 армия	4 минбр
006	2018-04-01	ДА	ЛФ Курляндская группа войск	42 армия	141 пабр
006	2018-04-01	ДА	ЛФ Курляндская группа войск	42 армия	304 иптап
006	2018-04-01	ДА	ЛФ Курляндская группа войск	42 армия	14 гв. мбр
006	2018-04-01	ДА	ЛФ Курляндская группа войск	42 армия	93 гв. мп
006	2018-04-01	ДА	ЛФ Курляндская группа войск	42 армия	310 гв. мп
006	2018-04-01	ДА	ЛФ Курляндская группа войск	42 армия	620 зенап
006	2018-04-01	ДА	ЛФ Курляндская группа войск	42 армия	709 зенап
006	2018-04-01	ДА	ЛФ Курляндская группа войск	42 армия	714 зенап
006	2018-04-01	ДА	ЛФ Курляндская группа войск	42 армия	729 зенап
006	2018-04-01	ДА	ЛФ Курляндская группа войск	42 армия	32 гв. тпп
006	2018-04-01	ДА	ЛФ Курляндская группа войск	42 армия	1503 сап
006	2018-04-01	ДА	ЛФ Курляндская группа войск	42 армия	21 мшисбр
006	2018-04-01	ДА	ЛФ Курляндская группа войск	42 армия	54 мпмб
006	2018-04-01	ДА	ЛФ Курляндская группа войск	42 армия	45 ооб
